repo_key,sha,files,import_edges,density,indeg_mean,indeg_median,indeg_max,indeg_gini,outdeg_mean,outdeg_median,outdeg_max,outdeg_gini,hub_share_top5pct,n_loops,largest_loop,largest_loop_share,share_in_loops,depth_condensed,spl_mean,spl_max,n_wcc,largest_wcc_share,isolated,isolated_share,modularity,n_clusters,clustering,single_importer_share,nesting_max,nesting_mean,unresolved_share,loc_total,loc_mean,loc_median
getsentry/sentry-python,2c3776c582a23b6936c76ef53008bf63f861b6fd,154,711,0.030175706646294882,4.616883116883117,1.0,102,0.8664127714760627,4.616883116883117,4.0,20,0.385637569181873,0.7144866385372715,4,33,0.21428571428571427,0.33116883116883117,6,2.693244529019981,6,9,0.948051948051948,8,0.05194805194805195,0.2525044299936075,15,0.5098982648792261,0.2077922077922078,4,2.051948051948052,0.0,36760,238.7012987012987,145.5
google/flax,32ad6c57a6f2c09080e9746b903addcb5c2b226c,208,494,0.011473429951690822,2.375,0.0,46,0.8094830270943632,2.375,1.0,30,0.6890571473061352,0.4534412955465587,2,25,0.1201923076923077,0.22596153846153846,11,2.959894921190893,7,72,0.6490384615384616,70,0.33653846153846156,0.4390097450112774,75,0.22374071906201082,0.10576923076923077,3,2.1153846153846154,0.011570247933884297,63752,306.5,168.0
google/mobly,c6145d2d18b6594420e5fa2ca95123d38e4b10ff,50,78,0.03183673469387755,1.56,1.0,12,0.622051282051282,1.56,1.0,9,0.5717948717948718,0.34615384615384615,1,2,0.04,0.04,8,2.130630630630631,5,11,0.76,9,0.18,0.5000843312531624,15,0.3327619047619048,0.34,4,2.36,0.0,10370,207.4,138.5
googleapis/python-storage,6aef9b7bf17c3ff50518e90c688f1b08a1b90f6d,158,218,0.008788196404095783,1.379746835443038,0.0,125,0.9555800720009291,1.379746835443038,1.0,11,0.3576239693415399,0.8532110091743119,1,10,0.06329113924050633,0.06329113924050633,8,3.3005433228481555,8,10,0.9430379746835443,9,0.056962025316455694,0.44416955127524477,12,0.11554973785250501,0.06962025316455696,5,2.2088607594936707,0.12023460410557185,29612,187.41772151898735,51.0
hgrecco/pint,16775fdc99688c4afd7954f51e1d61b9a491ab09,72,295,0.05770735524256651,4.097222222222222,2.0,36,0.6132297551789078,4.097222222222222,4.0,11,0.3641713747645951,0.36610169491525424,1,63,0.875,0.875,4,4.197247706422019,9,3,0.9722222222222222,2,0.027777777777777776,0.38037109375,8,0.4183460027256879,0.4166666666666667,3,2.486111111111111,0.0,16745,232.56944444444446,146.5
ibis-project/ibis,8641087cbfdb847bf5f1e9e3fd920be55bf659c7,180,1101,0.034171322160148974,6.116666666666666,1.0,88,0.771667171258452,6.116666666666666,5.0,25,0.4512211121202947,0.46684831970935514,1,104,0.5777777777777777,0.5777777777777777,6,3.5696894549963365,11,13,0.9333333333333333,12,0.06666666666666667,0.3097884817785975,18,0.3473320870237982,0.4111111111111111,6,2.861111111111111,0.0016652789342214821,86507,480.59444444444443,308.5
instructlab/instructlab,2fffc620651d6d22c3279a1a6aac302146b97036,103,216,0.020559680182752713,2.0970873786407767,1.0,34,0.7749910104279036,2.0970873786407767,2.0,9,0.5238223660553758,0.5601851851851852,2,2,0.019417475728155338,0.038834951456310676,11,2.1248025276461298,9,19,0.8252427184466019,18,0.17475728155339806,0.4425386496637261,24,0.29750008001105893,0.2621359223300971,5,3.3398058252427183,0.1686746987951807,19972,193.90291262135923,87.0
ipython/ipython,1460cef36a6e15915af6a2aa57f3384cc05693bb,182,401,0.012172909962965212,2.2032967032967035,1.0,22,0.6643144885040146,2.2032967032967035,1.0,46,0.7077498561289085,0.3341645885286783,1,55,0.3021978021978022,0.3021978021978022,8,3.830481036077706,8,42,0.7692307692307693,40,0.21978021978021978,0.4476205736260215,48,0.22501884730593688,0.2857142857142857,3,2.065934065934066,0.0380952380952381,56185,308.7087912087912,144.5
iterative/dvc,29386a0dbba672881f4a729973ebc5fd95417cd3,250,1481,0.02379116465863454,5.924,1.0,136,0.7208615800135044,5.924,5.0,57,0.44675489534098584,0.5320729237002025,2,134,0.536,0.588,8,3.339823775819731,10,6,0.98,5,0.02,0.39436583536537145,12,0.34175186607267527,0.48,4,2.212,0.0012004801920768306,41268,165.072,102.5
jackdewinter/pymarkdown,cee1f3f5575f73b671deb4374c6e7a263fa40df9,203,1281,0.031239330829634687,6.310344827586207,2.0,136,0.7702033894394389,6.310344827586207,6.0,27,0.4441573124444803,0.5042935206869633,1,20,0.09852216748768473,0.09852216748768473,21,4.105007394886964,12,13,0.9408866995073891,12,0.059113300492610835,0.3833026123046875,18,0.4105354129116242,0.16748768472906403,3,1.9211822660098523,0.0,60010,295.615763546798,171.0
jlowin/fastmcp,3f24e401fd16069c620c7fff21e897bda7473909,157,423,0.01727094561489466,2.694267515923567,1.0,47,0.7299995482676063,2.694267515923567,2.0,31,0.5563837316107272,0.4231678486997636,2,43,0.27388535031847133,0.28662420382165604,11,3.496862064361063,8,17,0.8662420382165605,15,0.09554140127388536,0.47500360438292966,22,0.30921858739426,0.267515923566879,6,3.4968152866242037,0.0,32742,208.54777070063693,88.0
joke2k/faker,73efc82d92951c5245ff25c824f29a16d040be7b,698,774,0.0015909361857818815,1.1088825214899714,0.0,68,0.9615068523577885,1.1088825214899714,1.0,6,0.12973945492103686,0.900516795865633,1,3,0.004297994269340974,0.004297994269340974,6,2.3914327917282128,5,7,0.9914040114613181,6,0.008595988538681949,0.8566354101641929,25,0.03949534448230161,0.054441260744985676,4,3.849570200573066,0.0,337775,483.9183381088825,65.0
kedro-org/kedro,94c35e92d00b621f4477967366d04af2be21facd,69,148,0.03154305200341006,2.1449275362318843,1.0,11,0.6163337250293772,2.1449275362318843,2.0,11,0.5254602428515472,0.25675675675675674,1,27,0.391304347826087,0.391304347826087,8,4.4126275510204085,11,11,0.8405797101449275,9,0.13043478260869565,0.5138644470868015,16,0.24620221589531055,0.2608695652173913,4,2.318840579710145,0.0,15588,225.91304347826087,105.0
