repo_key,name,url,pinned_sha,licence,nontest_py_files,python_share,block,eligible_tasks,sampled_tasks,description,archived,size_tercile,domain
nltk/nltk,nltk/nltk,https://github.com/nltk/nltk,e0b05bb36f18b3d6b2a44e4a1831b05d586791f3,Apache-2.0,296,0.9988,fresh,11,11,NLTK Source,False,large,data/ML
numba/numba,numba/numba,https://github.com/numba/numba,b49469f06176769ecfa47a7865ef2030f4ed77f4,BSD-2-Clause,369,0.8554,fresh,35,20,NumPy aware dynamic Python compiler using LLVM,False,large,scientific/numeric
nvidia/hpc-container-maker,NVIDIA/hpc-container-maker,https://github.com/NVIDIA/hpc-container-maker,ce582fa83c9dc96c74e0343fdc25c69c9ea277e8,Apache-2.0,113,0.9854,fresh,10,10,HPC Container Maker,False,small,CLI/infrastructure
oasis-open/cti-python-stix2,oasis-open/cti-python-stix2,https://github.com/oasis-open/cti-python-stix2,fa8c95bba783c9dce8e2c56391077aee22767553,BSD-3-Clause,62,1.0,fresh,21,20,OASIS TC Open Repository: Python APIs for STIX 2,False,small,other
openai/openai-agents-python,openai/openai-agents-python,https://github.com/openai/openai-agents-python,6904dcbbdbf211aa2542a1e824db28985a0e914b,MIT,199,0.9814,fresh,13,13,"A lightweight, powerful framework for multi-agent workflows",False,medium,data/ML
pandas-dev/pandas,pandas-dev/pandas,https://github.com/pandas-dev/pandas,543680dcd9af5e4a9443d54204ec21e801652252,BSD-3-Clause,379,0.9823,fresh,11,11,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R data.frame objects, statistical functions, and much more",False,large,data/ML
patroni/patroni,patroni/patroni,https://github.com/patroni/patroni,e8911304a33cb8f0c6c048d3f8bae717633aca09,MIT,82,0.9957,fresh,21,20,"A template for PostgreSQL High Availability with Etcd, Consul, ZooKeeper, or Kubernetes",False,small,CLI/infrastructure
pdm-project/pdm,pdm-project/pdm,https://github.com/pdm-project/pdm,b728ef778f4d693a67bd9d11eaab00ad30c6802f,MIT,138,0.9753,fresh,48,20,A modern Python package and dependency manager supporting the latest PEP standards,False,medium,developer tools/testing
pennylaneai/pennylane,PennyLaneAI/pennylane,https://github.com/PennyLaneAI/pennylane,e0b21748136c69e924be7d776c2588f47508f0b1,Apache-2.0,528,0.999,fresh,75,20,"PennyLane is an open-source quantum software platform for quantum computing, quantum machine learning, and quantum chemistry. Create meaningful quantum algorithms, from inspiration to implementation.",False,large,scientific/numeric
pre-commit/pre-commit,pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,716da1e49c36b8ae46d1dd0ef5aabdb475ee4388,MIT,65,0.9512,fresh,40,20,A framework for managing and maintaining multi-language pre-commit hooks.,False,small,developer tools/testing
projectmesa/mesa,projectmesa/mesa,https://github.com/projectmesa/mesa,08ff1edaba02bd6af95c545f4312dd039fb80bb9,Apache-2.0,84,1.0,fresh,14,14,"Mesa is an open-source Python library for agent-based modeling, ideal for simulating complex systems and exploring emergent behaviors.",False,small,scientific/numeric
psf/black,psf/black,https://github.com/psf/black,bdd7fcd9396350b2887e22dec67072db3aeeeaa9,MIT,60,1.0,fresh,15,15,The uncompromising Python code formatter,False,small,developer tools/testing
pvlib/pvlib-python,pvlib/pvlib-python,https://github.com/pvlib/pvlib-python,216386ef2f2fcdcaf1b3ecb5913abdf54e9eabaf,BSD-3-Clause,115,0.9989,fresh,25,20,A set of documented functions for simulating the performance of photovoltaic energy systems.,False,small,scientific/numeric
pydata/xarray,pydata/xarray,https://github.com/pydata/xarray,d008e331ba11f6cb648ff447756e14e3252b368d,Apache-2.0,145,0.9987,swebench,122,20,N-D labeled arrays and datasets in Python,False,medium,data/ML
pylint-dev/pylint,pylint-dev/pylint,https://github.com/pylint-dev/pylint,ed5963235706741560b095bd7e5a8865e3be1009,GPL-2.0,1081,1.0,swebench,117,20,It's not just a linter that annoys you!,False,large,developer tools/testing
pypsa/pypsa,PyPSA/PyPSA,https://github.com/PyPSA/PyPSA,03686184a56007b43f2e4f74d3b2caa1370d4e69,MIT,80,1.0,fresh,10,10,PyPSA: Python for Power System Analysis,False,small,scientific/numeric
pytest-dev/pytest,pytest-dev/pytest,https://github.com/pytest-dev/pytest,bf451d47a1b3be80a7f89b3076e4816c47390037,MIT,89,1.0,swebench,116,20,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing",False,small,developer tools/testing
python-cmd2/cmd2,python-cmd2/cmd2,https://github.com/python-cmd2/cmd2,96acc5a36233f17edcb0925ddf4ff382a0fa0f77,MIT,82,0.9968,fresh,27,20,cmd2 - quickly build feature-rich and user-friendly interactive command line applications in Python,False,small,CLI/infrastructure
python-control/python-control,python-control/python-control,https://github.com/python-control/python-control,dc7d71bd1a2d143f10fa8fe91d31292bdf8f5113,BSD-3-Clause,102,0.9982,fresh,18,18, The Python Control Systems Library is a Python module that implements basic operations for analysis and design of feedback control systems.,False,small,scientific/numeric
python-telegram-bot/python-telegram-bot,python-telegram-bot/python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,89556d02e36f3a9647cf480fe117647b5749f4be,GPL-3.0,249,0.9999,fresh,13,13,We have made you a wrapper you can't refuse,False,medium,web/API
python/mypy,python/mypy,https://github.com/python/mypy,bf70dab2d09b61048a8b720e33efae18281a3313,see LICENSE,333,0.9618,fresh,14,14,Optional static typing for Python,False,large,developer tools/testing
pytorch/ignite,pytorch/ignite,https://github.com/pytorch/ignite,b92ad52c26e7a07a087afd661d1895aaf0151b34,BSD-3-Clause,154,0.9919,fresh,63,20,High-level library to help with training and evaluating neural networks in PyTorch flexibly and transparently.,False,medium,data/ML
pytorch/torchtune,pytorch/torchtune,https://github.com/pytorch/torchtune,84aea68d90ff5f8e65af33fd004e7b84424bc712,BSD-3-Clause,246,0.9997,fresh,12,12,PyTorch native post-training library,False,medium,data/ML
pyvista/pyvista,pyvista/pyvista,https://github.com/pyvista/pyvista,a7269d5477de1687f92b79d55ab10694c13c0410,MIT,335,0.9997,fresh,23,20,3D visualization and mesh analysis for science and engineering,False,large,scientific/numeric
rdflib/rdflib,RDFLib/rdflib,https://github.com/RDFLib/rdflib,0ea6ca579442219d67ffb1fc7313f05fd16d8d49,BSD-3-Clause,145,0.9946,fresh,11,11,"RDFLib is a Python library for working with RDF, a simple yet powerful language for representing information.",False,medium,other
reflex-dev/reflex,reflex-dev/reflex,https://github.com/reflex-dev/reflex,6afcaf60bde184258b79d3bba8eb35046a87a073,Apache-2.0,248,0.9544,fresh,42,20,🕸️ Web apps in pure Python 🐍,False,medium,web/API
