instance_id,repo_key,status,n_co_edited,n_new_files,n_symbol_files,names_tried,names_resolved_in_repo,jedi_errors,truncated,seconds
sympy__sympy-13031,sympy/sympy,ok,1,0,1,24,20,0,False,1.5
sympy__sympy-13372,sympy/sympy,ok,1,0,0,2,0,0,False,1.8
sympy__sympy-13757,sympy/sympy,ok,1,0,1,1,1,0,False,0.8
sympy__sympy-13798,sympy/sympy,ok,1,0,2,13,11,0,False,2.0
sympy__sympy-14711,sympy/sympy,ok,1,0,1,2,2,0,False,0.3
sympy__sympy-14976,sympy/sympy,ok,1,0,2,9,7,0,False,0.7
sympy__sympy-15809,sympy/sympy,ok,1,0,0,0,0,0,False,0.2
sympy__sympy-17139,sympy/sympy,ok,1,0,1,4,2,0,False,0.5
sympy__sympy-18763,sympy/sympy,ok,1,0,0,0,0,0,False,0.4
sympy__sympy-19495,sympy/sympy,ok,1,0,2,28,16,0,False,1.4
sympy__sympy-19637,sympy/sympy,ok,1,0,1,4,5,0,False,1.2
sympy__sympy-20428,sympy/sympy,ok,1,0,1,3,3,0,False,3.2
sympy__sympy-20438,sympy/sympy,ok,3,0,10,57,49,0,False,10.4
sympy__sympy-21612,sympy/sympy,ok,1,0,3,5,3,0,False,4.4
sympy__sympy-22080,sympy/sympy,ok,2,0,5,22,22,0,False,1.1
sympy__sympy-22456,sympy/sympy,ok,1,0,5,16,15,0,False,2.6
sympy__sympy-24539,sympy/sympy,ok,1,0,1,11,5,0,False,0.5
