source,method,budget,coverage
symbol,ppr_out_pl,250,0.09849202934579973
symbol,ppr_out_pl,500,0.15702369079633696
symbol,ppr_out_pl,1000,0.2444410047156485
symbol,ppr_out_pl,2000,0.3399102889164954
symbol,ppr_out_pl,4000,0.4760903991068953
symbol,ppr_out_pl,8000,0.6249355111514948
symbol,ppr_out_pl,16000,0.7731800444448382
symbol,ppr_out_pl,32000,0.8851317519769288
symbol,ppr_und,250,0.04382895451883064
symbol,ppr_und,500,0.085808910226894
symbol,ppr_und,1000,0.1688654667205186
symbol,ppr_und,2000,0.28465229925767155
symbol,ppr_und,4000,0.4481897638577162
symbol,ppr_und,8000,0.6197627549111329
symbol,ppr_und,16000,0.7722055408275476
symbol,ppr_und,32000,0.8969053476836728
symbol,ppr_und_pl,250,0.10607640116554105
symbol,ppr_und_pl,500,0.1644018340352235
symbol,ppr_und_pl,1000,0.2567012678908676
symbol,ppr_und_pl,2000,0.3547030762301386
symbol,ppr_und_pl,4000,0.4931551121009497
symbol,ppr_und_pl,8000,0.6380114492164396
symbol,ppr_und_pl,16000,0.7801132628082524
symbol,ppr_und_pl,32000,0.8993183179221071
symbol,random,250,0.008766636067374817
symbol,random,500,0.02055805058732415
symbol,random,1000,0.04441721723269327
symbol,random,2000,0.09375763670811035
symbol,random,4000,0.18507941446605164
symbol,random,8000,0.34228516591917096
symbol,random,16000,0.535739435177835
symbol,random,32000,0.7373559737509909
symbol,rrf_hops_issue_path,250,0.04783844116394309
symbol,rrf_hops_issue_path,500,0.10593060905427415
symbol,rrf_hops_issue_path,1000,0.19293721806536843
symbol,rrf_hops_issue_path,2000,0.31810813263184046
symbol,rrf_hops_issue_path,4000,0.47947203472086
symbol,rrf_hops_issue_path,8000,0.6440852781161095
symbol,rrf_hops_issue_path,16000,0.8021593767268693
symbol,rrf_hops_issue_path,32000,0.9147037248813137
symbol,rrf_hops_path,250,0.06826329393074373
symbol,rrf_hops_path,500,0.12542279299007192
symbol,rrf_hops_path,1000,0.20643656184023548
symbol,rrf_hops_path,2000,0.3341489533696233
symbol,rrf_hops_path,4000,0.4993306040457836
symbol,rrf_hops_path,8000,0.6616819149409545
symbol,rrf_hops_path,16000,0.8063281852110156
symbol,rrf_hops_path,32000,0.9127505980374915
symbol,rrf_hops_path_rd,250,0.06030233017097604
symbol,rrf_hops_path_rd,500,0.11414539923190073
symbol,rrf_hops_path_rd,1000,0.1864364219221369
symbol,rrf_hops_path_rd,2000,0.3039167749368895
symbol,rrf_hops_path_rd,4000,0.45967842354347616
symbol,rrf_hops_path_rd,8000,0.6337130351842516
symbol,rrf_hops_path_rd,16000,0.787605770207788
symbol,rrf_hops_path_rd,32000,0.9059403171129559
symbol,rrf_hops_path_rdp,250,0.055087597606191974
symbol,rrf_hops_path_rdp,500,0.10414095794212386
symbol,rrf_hops_path_rdp,1000,0.17497001113856656
symbol,rrf_hops_path_rdp,2000,0.28669225372117546
symbol,rrf_hops_path_rdp,4000,0.43376901685756625
symbol,rrf_hops_path_rdp,8000,0.6033752865495836
symbol,rrf_hops_path_rdp,16000,0.7709639324142301
symbol,rrf_hops_path_rdp,32000,0.8913713581863818
symbol,rrf_hops_path_rds,250,0.0536518718438838
symbol,rrf_hops_path_rds,500,0.10255576352863838
symbol,rrf_hops_path_rds,1000,0.1748449181804711
symbol,rrf_hops_path_rds,2000,0.2854792912014562
symbol,rrf_hops_path_rds,4000,0.43333750589008524
symbol,rrf_hops_path_rds,8000,0.6011584889091359
symbol,rrf_hops_path_rds,16000,0.7658074473531669
symbol,rrf_hops_path_rds,32000,0.8866243243884774
symbol,rrf_hops_pathseed,250,0.054599887352984315
symbol,rrf_hops_pathseed,500,0.10408603215096167
symbol,rrf_hops_pathseed,1000,0.17612989915895913
symbol,rrf_hops_pathseed,2000,0.2972892050658591
symbol,rrf_hops_pathseed,4000,0.45548144750628605
symbol,rrf_hops_pathseed,8000,0.6307856978636183
symbol,rrf_hops_pathseed,16000,0.7775792415894056
symbol,rrf_hops_pathseed,32000,0.9015315407804163
symbol,rrf_ppr_issue,250,0.01781935730034833
symbol,rrf_ppr_issue,500,0.05106403634810299
symbol,rrf_ppr_issue,1000,0.12139720714047923
symbol,rrf_ppr_issue,2000,0.22733725290325035
symbol,rrf_ppr_issue,4000,0.38604236252143126
symbol,rrf_ppr_issue,8000,0.5537652138479462
symbol,rrf_ppr_issue,16000,0.74728458384984
symbol,rrf_ppr_issue,32000,0.8940221217412336
symbol,rrf_ppr_issue_path,250,0.03251790550487688
