source,a,b,n_pr,mean_a,mean_b,delta,a12,p,p_holm
symbol,ppr_out_pl,rrf_ppr_issue_path,1156,0.4906277821205256,0.4200118632448838,0.07061591887564178,0.59051391266867,1.380109894391561e-18,8.970714313545146e-17
symbol,ppr_out_pl,rrf_hops_path,1156,0.4906277821205256,0.47590547495198987,0.014722307168535731,0.5194281228673028,0.005651125866349344,0.1299758949260349
symbol,ppr_out_pl,rrf_hops_issue_path,1156,0.4906277821205256,0.4565513968956745,0.034076385224851125,0.543842641371631,1.064112097441739e-05,0.00037243923410460865
symbol,ppr_out_pl,rrf_pprpl_issue_path,1156,0.4906277821205256,0.47350017102079317,0.01712761109973243,0.523484363214042,0.014902883100425717,0.30091745557504757
symbol,ppr_out_pl,same_dir,1156,0.4906277821205256,0.3197893621182504,0.17083842000227523,0.7119017971528119,4.0523495154734723e-100,6.483759224757556e-98
symbol,ppr_out_pl,random,1156,0.4906277821205256,0.24847668681438403,0.24215109530614157,0.7995930664144346,7.904889997288028e-161,1.4861193194901492e-158
symbol,ppr_in,ppr_in_pl,1156,0.26891172585068185,0.27672810156960187,-0.007816375718920021,0.4914968989834892,0.03424823817061313,0.54797181072981
symbol,ppr_in,hops_lines,1156,0.26891172585068185,0.47674197454971573,-0.20783024869903388,0.25327836711725193,1.1555651767319148e-123,1.987572103978893e-121
symbol,ppr_in,pagerank,1156,0.26891172585068185,0.40982896318498596,-0.1409172373343041,0.3198289951030279,1.4504577742249122e-70,1.9581179952036314e-68
symbol,ppr_in,bm25_issue,1156,0.26891172585068185,0.3404272250723622,-0.07151549922168038,0.4073586283689132,6.229928738301051e-33,5.544636577087935e-31
symbol,ppr_in,bm25_issue_pl,1156,0.26891172585068185,0.3552965126677088,-0.08638478681702694,0.3967056189461333,3.213434427913087e-31,2.7314192637261236e-29
symbol,ppr_in,path_issue,1156,0.26891172585068185,0.38238263552099244,-0.1134709096703106,0.3628279115432047,8.169251309236725e-53,9.312946492529867e-51
symbol,ppr_in,bm25_seed,1156,0.26891172585068185,0.33602775615587943,-0.06711603030519758,0.414368467211839,2.269226080425392e-32,1.974226689970091e-30
symbol,ppr_in,path_seed,1156,0.26891172585068185,0.36485004396282167,-0.09593831811213982,0.3788141605105303,1.5049876424019674e-52,1.7006360359142233e-50
symbol,ppr_in,rrf_ppr_issue,1156,0.26891172585068185,0.3904138190033678,-0.12150209315268595,0.3372097286909879,1.7668997551701487e-88,2.650349632755223e-86
symbol,ppr_in,rrf_ppr_issue_path,1156,0.26891172585068185,0.4200118632448838,-0.15110013739420197,0.3036204966415632,9.840976014590599e-106,1.6040790903782676e-103
symbol,ppr_in,rrf_hops_path,1156,0.26891172585068185,0.47590547495198987,-0.20699374910130802,0.24224109804719765,7.700310232054058e-134,1.4014564622338386e-131
symbol,ppr_in,rrf_hops_issue_path,1156,0.26891172585068185,0.4565513968956745,-0.18763967104499263,0.26119179607523857,6.784557723441734e-128,1.200866717049187e-125
symbol,ppr_in,rrf_pprpl_issue_path,1156,0.26891172585068185,0.47350017102079317,-0.20458844517011132,0.24531180780881454,3.901943006751456e-133,7.062516842220136e-131
symbol,ppr_in,same_dir,1156,0.26891172585068185,0.3197893621182504,-0.05087763626756853,0.44032750745321536,1.0050057943670968e-16,6.231035925076e-15
symbol,ppr_in,random,1156,0.26891172585068185,0.24847668681438403,0.020435039036297814,0.5262860538068271,0.0014872723334742397,0.041643625337278715
symbol,ppr_in_pl,hops_lines,1156,0.27672810156960187,0.47674197454971573,-0.20001387298011386,0.2639339956418146,5.561131512985951e-124,9.676368832595554e-122
symbol,ppr_in_pl,pagerank,1156,0.27672810156960187,0.40982896318498596,-0.1331008616153841,0.33075962931478314,2.323102794321464e-61,2.9503405487882593e-59
symbol,ppr_in_pl,bm25_issue,1156,0.27672810156960187,0.3404272250723622,-0.06369912350276036,0.41728277918128376,9.03772061742294e-24,6.778290463067205e-22
symbol,ppr_in_pl,bm25_issue_pl,1156,0.27672810156960187,0.3552965126677088,-0.07856841109810692,0.4062956472024999,2.6536946512813534e-29,2.1229557210250828e-27
symbol,ppr_in_pl,path_issue,1156,0.27672810156960187,0.38238263552099244,-0.10565453395139057,0.3727116533566408,1.2403901510888867e-47,1.3396213631759977e-45
symbol,ppr_in_pl,bm25_seed,1156,0.27672810156960187,0.33602775615587943,-0.05929965458627756,0.4241085325846194,8.707769591754945e-23,6.269594106063561e-21
symbol,ppr_in_pl,path_seed,1156,0.27672810156960187,0.36485004396282167,-0.0881219423932198,0.3888206259503598,7.5816101025499e-44,7.6574262035754e-42
symbol,ppr_in_pl,rrf_ppr_issue,1156,0.27672810156960187,0.3904138190033678,-0.11368571743376593,0.3484273416266568,3.8070925533347305e-67,5.0634330959351915e-65
symbol,ppr_in_pl,rrf_ppr_issue_path,1156,0.27672810156960187,0.4200118632448838,-0.14328376167528195,0.31479657810610506,6.2227194903325775e-87,9.209624845692214e-85
symbol,ppr_in_pl,rrf_hops_path,1156,0.27672810156960187,0.47590547495198987,-0.199177373382388,0.25348976604686246,1.0446280644555479e-128,1.8594379547308753e-126
symbol,ppr_in_pl,rrf_hops_issue_path,1156,0.27672810156960187,0.4565513968956745,-0.1798232953260726,0.27268778211467776,3.223296697140627e-113,5.447371418167659e-111
symbol,ppr_in_pl,rrf_pprpl_issue_path,1156,0.27672810156960187,0.47350017102079317,-0.1967720694511913,0.2565907825576801,4.8839488904501e-124,8.546910558287675e-122
symbol,ppr_in_pl,same_dir,1156,0.27672810156960187,0.3197893621182504,-0.043061260548648506,0.4493802456867135,1.5505804084400724e-12,7.90796008304437e-11
symbol,ppr_in_pl,random,1156,0.27672810156960187,0.24847668681438403,0.028251414755217835,0.5347184390752028,6.182280144562606e-05,0.00204015244770566
symbol,hops_lines,pagerank,1156,0.47674197454971573,0.40982896318498596,0.06691301136472977,0.5821601004537781,5.325539892996353e-18,3.377888483156367e-16
symbol,hops_lines,bm25_issue,1156,0.47674197454971573,0.3404272250723622,0.1363147494773535,0.6623401599597706,1.4500766207730649e-49,1.5805835166426407e-47
symbol,hops_lines,bm25_issue_pl,1156,0.47674197454971573,0.3552965126677088,0.12144546188200694,0.6459520659474863,1.8914692939171403e-71,2.591312932666482e-69
symbol,hops_lines,path_issue,1156,0.47674197454971573,0.38238263552099244,0.09435933902872329,0.6137004465942697,9.862348780059891e-31,8.18574948744971e-29
symbol,hops_lines,bm25_seed,1156,0.47674197454971573,0.33602775615587943,0.1407142183938363,0.6697391224961388,3.230536420481358e-60,4.038170525601698e-58
symbol,hops_lines,path_seed,1156,0.47674197454971573,0.36485004396282167,0.11189193058689406,0.6361124747069599,4.897739698329927e-60,6.073197225929109e-58
symbol,hops_lines,rrf_ppr_issue,1156,0.47674197454971573,0.3904138190033678,0.08632815554634793,0.6074318135558722,1.4390300895226962e-27,1.13683377072293e-25
symbol,hops_lines,rrf_ppr_issue_path,1156,0.47674197454971573,0.4200118632448838,0.05673011130483191,0.5705473773063061,1.3575886611381215e-12,7.195219904032044e-11
symbol,hops_lines,rrf_hops_path,1156,0.47674197454971573,0.47590547495198987,0.0008364995977258594,0.5022438219130518,0.9984233677444692,1.0
