half,source,method,family,n_pr,auc,ci_lo,ci_hi,rank,chosen_on_select,n_repos
confirm,co_edited,indegree,global,382,0.272308270312197,0.23370812352612974,0.3159335696921018,22.0,rrf_pprpl_issue_path,56
confirm,co_edited,random,reference,382,0.25768914131970416,0.22181352337202181,0.29783343477265267,23.0,rrf_pprpl_issue_path,56
confirm,co_edited,rrf_hops_pathseed,fusion-control,382,0.4032819901520817,0.35638647860815365,0.44995351071414436,,rrf_pprpl_issue_path,56
confirm,co_edited,rrf_pprpl_seedpath,fusion-control,382,0.41998869428516017,0.3723510395818348,0.4688862364777232,,rrf_pprpl_issue_path,56
confirm,symbol,oracle,reference,382,0.7730704610000805,0.7371513478127307,0.8056518945076988,1.0,rrf_pprpl_issue_path,56
confirm,symbol,rrf_pprpl_issue_path,fusion,382,0.46941692869712426,0.4293687962760413,0.50992344140301,2.0,rrf_pprpl_issue_path,56
confirm,symbol,rrf_hops_issue_path,fusion,382,0.4530881040878223,0.411672172496943,0.49384012711542263,3.0,rrf_pprpl_issue_path,56
confirm,symbol,rrf_hops_path,fusion,382,0.452696929061367,0.411693081004923,0.4949842163029333,4.0,rrf_pprpl_issue_path,56
confirm,symbol,ppr_und_pl,structure,382,0.43166020950338685,0.39042963379553325,0.4741180632699054,5.0,rrf_pprpl_issue_path,56
confirm,symbol,hops_lines,structure,382,0.41825534300733364,0.3729289476667175,0.46419527432724417,6.0,rrf_pprpl_issue_path,56
confirm,symbol,rrf_ppr_issue_path,fusion,382,0.41676294728173546,0.3768532390153691,0.45871064606238593,7.0,rrf_pprpl_issue_path,56
confirm,symbol,path_issue,lexical,382,0.41279565760441267,0.3713742974980153,0.45587006357509086,8.0,rrf_pprpl_issue_path,56
confirm,symbol,ppr_out_pl,structure,382,0.4117845622721277,0.37325624017118153,0.45454306466596606,9.0,rrf_pprpl_issue_path,56
confirm,symbol,ppr_und,structure,382,0.3821369595254302,0.3408921613535594,0.4263554490781041,10.0,rrf_pprpl_issue_path,56
confirm,symbol,ppr_out,structure,382,0.382117674764517,0.3408762547118717,0.42623698455162023,11.0,rrf_pprpl_issue_path,56
confirm,symbol,rrf_ppr_issue,fusion,382,0.38187548585754294,0.34306452560295175,0.42197253280485253,12.0,rrf_pprpl_issue_path,56
confirm,symbol,bfs_und,structure,382,0.37183721261246355,0.3274798638506606,0.41796202154562384,13.0,rrf_pprpl_issue_path,56
confirm,symbol,bm25_issue,lexical,382,0.3717622905391503,0.3354135865028424,0.40892931446206043,14.0,rrf_pprpl_issue_path,56
confirm,symbol,path_seed,lexical,382,0.37061982756190875,0.3258445958744714,0.41681682492341426,15.0,rrf_pprpl_issue_path,56
