repo_key,files,import_edges,density,indeg_mean,indeg_median,indeg_max,indeg_gini,outdeg_mean,outdeg_median,outdeg_max,outdeg_gini,hub_share_top5pct,n_loops,largest_loop,largest_loop_share,share_in_loops,depth_condensed,spl_mean,spl_max,n_wcc,largest_wcc_share,isolated,isolated_share,modularity,n_clusters,clustering,single_importer_share,nesting_max,nesting_mean,unresolved_share,loc_total,loc_mean,loc_median
ethereum/web3.py,170.0,638.0,0.021687153741714697,3.528876013027342,1.0,75.0,0.7088446630410251,3.528876013027342,2.25,27.0,0.5919477754079498,0.42946568298680976,1.0,97.0,0.5476406877224873,0.5476406877224873,5.5,3.5013530722699775,9.0,39.0,0.777124183006536,38.0,0.22287581699346404,0.35747203705399666,45.0,0.28405297225732223,0.297239263803681,4.0,2.3067484662576687,0.0,38264.0,215.0649662955389,98.75
facelessuser/pymdown-extensions,46.0,26.0,0.012527376804380288,0.5617073170731708,0.0,14.5,0.9282784913647952,0.5617073170731708,0.0,4.0,0.6799148091959388,0.8378378378378378,0.0,0.0,0.0,0.0,1.5,1.1333333333333333,1.5,22.0,0.5117073170731707,20.0,0.44390243902439025,0.47184817550699365,25.0,0.0,0.11904761904761904,1.5,1.026190476190476,0.0,47684.5,1049.15,180.5
falconry/falcon,142.0,303.0,0.015365090655012705,2.133236481828031,1.0,27.0,0.7596873277182294,2.133236481828031,1.0,22.0,0.7167057639340277,0.4383116883116883,1.0,41.0,0.28178466773797145,0.28178466773797145,9.0,3.1042590949423245,8.0,46.0,0.6912751677852349,45.0,0.3087248322147651,0.36047444950623775,51.0,0.2025099696976859,0.22183098591549294,5.0,2.1690140845070425,0.0026702269692923898,27533.5,193.90623461045996,45.0
fatal1ty/mashumaro,69.0,123.0,0.026491228070175437,1.986842105263158,0.0,22.0,0.7404265347001296,1.986842105263158,1.0,11.0,0.5889006716154118,0.37398373983739835,1.0,4.0,0.057971014492753624,0.057971014492753624,13.0,2.5377358490566038,7.0,19.0,0.7631578947368421,18.0,0.23684210526315788,0.5014444444444445,22.0,0.4404721687330383,0.13953488372093023,4.0,2.460526315789474,0.0,7761.0,121.27631578947368,36.0
fitbenchmarking/fitbenchmarking,115.0,158.5,0.01338129591459225,1.4614508783344178,0.0,43.0,0.849449549800427,1.4614508783344178,1.0,12.0,0.5763147930255276,0.5559300247672194,0.0,0.0,0.0,0.0,6.5,1.7255876295400308,4.5,29.0,0.7406518010291595,28.0,0.25740971357409714,0.47163434089010414,35.0,0.24861908410121314,0.17028985507246375,4.0,2.1479095770539622,0.0,16934.5,146.88530701754388,90.0
fonttools/fonttools,333.0,247.0,0.0022341618727160896,0.7396449704142012,0.0,50.0,0.7574850299401198,0.7396449704142012,0.0,84.0,0.8206138330626197,0.4898785425101215,1.0,3.0,0.009009009009009009,0.009009009009009009,5.0,1.6465863453815262,4.0,187.0,0.34911242603550297,175.0,0.5269461077844312,0.5171095376926281,193.0,0.04960470077509664,0.3520710059171598,4.0,3.1921921921921923,0.0,123503.0,373.2269938650307,127.0
frictionlessdata/frictionless-py,116.0,469.0,0.034324942791762014,3.9130434782608696,1.0,41.0,0.7071317482544195,3.9130434782608696,3.0,37.0,0.4771116157379857,0.42168674698795183,0.0,0.0,0.0,0.0,21.0,2.7710215427380125,8.0,2.0,0.9913793103448276,1.0,0.008620689655172414,0.3678400295707286,10.0,0.22538698422396397,0.41379310344827586,2.0,1.706896551724138,0.0,18449.5,148.06700991609458,73.0
genericmappingtools/pygmt,129.0,263.0,0.01592781007751938,2.0970149253731343,0.0,75.0,0.8486074881080251,2.0970149253731343,1.0,34.0,0.4608391608391608,0.6971830985915493,0.0,0.0,0.0,0.0,10.0,2.521570699066737,5.0,2.0,0.9922480620155039,1.0,0.00684931506849315,0.3675536044628052,7.0,0.14143597171139438,0.09302325581395349,3.0,2.3925925925925924,0.0,13832.0,110.87671232876713,66.0
getsentry/sentry-python,144.0,689.0,0.03365384615384615,4.768115942028985,1.0,97.0,0.8563335168409989,4.768115942028985,5.0,20.0,0.36462842712842713,0.7144866385372715,4.0,31.0,0.2222222222222222,0.33116883116883117,6.0,2.6459206064232994,6.0,5.0,0.9655172413793104,4.0,0.034482758620689655,0.24846748971193416,12.0,0.5241157175983027,0.22758620689655173,4.0,2.051948051948052,0.0,32261.0,223.44827586206895,146.5
google/flax,187.0,410.5,0.011680077574534462,2.1952380952380954,0.0,36.5,0.80120065678781,2.1952380952380954,1.0,28.0,0.7017352250672527,0.4239607170099161,2.0,24.0,0.12009615384615385,0.16772727272727272,11.0,2.9602831107056344,7.0,67.5,0.6452651515151515,65.5,0.34133876074174585,0.4687415048670214,70.5,0.22234553566550205,0.10654315196998124,4.0,2.2646950433020088,0.011608751254795727,53417.5,285.6697697697698,141.0
